January,,,
Destination / Region,Country / Area,Category,Why January?
,,,
"Northern Europe (Norway, Sweden, Finland, Iceland, Greenland)",Northern Europe,Winter / Northern Lights,"לילות ארוכים, שמיים נקיים – עונת שיא לזוהר הצפוני"
Austrian Alps,Austria,Ski / Winter sports,"שלג מצוין אחרי החגים, אתרי סקי פעילים"
Swiss Alps,Switzerland,Ski / Winter sports,"תנאי סקי טובים, חורף יציב"
"Caribbean Islands (Cuba, Dominican Rep., Jamaica, etc.)",Caribbean,Beach / Warm escape,"חם, מעט גשם – מתאים מאוד לחופים"
"Central America (Mexico, Costa Rica, Belize)",Central America,Beach + Nature,"עונה יבשה, ים נעים, טיולי טבע"
"Southeast Asia (Thailand, Cambodia, Vietnam, etc.)",SE Asia,Beach / Culture,"יבש, חמים, שיא עונה נעימה לחופים וטיולים"
South Africa (Cape Town & surrounds),South Africa,City + Beach + Wine,"קיץ מקומי, פחות עומס אחרי החגים"
Australia & New Zealand,Australia / New Zealand,Summer / Outdoors,"אמצע הקיץ – ים, טיולי טבע, טרקים"
Patagonia (Chile & Argentina),Chile / Argentina,Trekking / Mountains,עונה חמה ויבשה לטרקים בפטגוניה
Hawaii,USA (Hawaii),Surf / Beach / Whales,"גלים גבוהים, צפייה בלווייתנים, מחירים נוחים יותר"
Antarctica,Antarctica,Polar / Expedition,"ימים “חמים” יחסית, קרח ים פתוח – תנאים טובים לשייט"
,,,
Scandinavia,"Norway, Sweden, Finland",Northern Lights / Winter,עדיין עונה מעולה לאורות הצפון
French Alps,France,Ski,"הרבה שלג, אתרי סקי פעילים"
Utah / Colorado / Vermont,USA,Ski / Winter,אתרי סקי מובילים בצפון אמריקה
Paris,France,City / Romance,"“עיר האהבה” סביב וולנטיין, מחירים נוחים יחסית לחורף"
"Chile & Argentina (Patagonia, wine regions)",Chile / Argentina,Trekking + Wine,"סוף הקיץ בדרום, מזג אוויר מעולה לטיול ויין"
Egypt,Egypt,Culture / Historical,"מזג אוויר נעים לביקור בלוקסור, קהיר, אסואן"
Cape Town,South Africa,City + Beach,"קיץ, פחות אירופאים, מחירים יורדים"
Venice Carnival,Italy,Festival / Culture,קרנבל ונציה – אירוע תרבותי מרכזי
Rio de Janeiro Carnival,Brazil,Festival / Party,הקרנבל הכי גדול בעולם
New Orleans – Mardi Gras,USA,Festival / Culture,מרדי גרא – תהלוכות וחגיגות
China / Singapore (Chinese New Year),China / Singapore,Festival / Culture,ראש השנה הסיני – חגיגות ענק
,,,
February,,,
Destination / Region,Country / Area,Category,Why February?
Scandinavia,"Norway, Sweden, Finland",Northern Lights / Winter,עדיין עונה מעולה לאורות הצפון
French Alps,France,Ski,"הרבה שלג, אתרי סקי פעילים"
Utah / Colorado / Vermont,USA,Ski / Winter,אתרי סקי מובילים בצפון אמריקה
Paris,France,City / Romance,"“עיר האהבה” סביב וולנטיין, מחירים נוחים יחסית לחורף"
"Chile & Argentina (Patagonia, wine regions)",Chile / Argentina,Trekking + Wine,"סוף הקיץ בדרום, מזג אוויר מעולה לטיול ויין"
Egypt,Egypt,Culture / Historical,"מזג אוויר נעים לביקור בלוקסור, קהיר, אסואן"
Cape Town,South Africa,City + Beach,"קיץ, פחות אירופאים, מחירים יורדים"
Venice Carnival,Italy,Festival / Culture,קרנבל ונציה – אירוע תרבותי מרכזי
Rio de Janeiro Carnival,Brazil,Festival / Party,הקרנבל הכי גדול בעולם
New Orleans – Mardi Gras,USA,Festival / Culture,מרדי גרא – תהלוכות וחגיגות
China / Singapore (Chinese New Year),China / Singapore,Festival / Culture,ראש השנה הסיני – חגיגות ענק
,,,
March,,,
Destination / Region,Country / Area,Category,Why March?
Italy & Mediterranean countries,"Italy, Greece, Spain, etc.",City + Mild weather,"מתחמם, עונה כתף נעימה ללא עומס"
Egypt & Middle East,"Egypt, Jordan, Israel, etc.",Culture / Desert,"חם ונעים ביום, קריר בערב"
Southeast Asia,"Thailand, Vietnam, etc.",Beach / Culture,"עדיין חם ויחסית יבש, קצת פחות צפוף מבינואר–פברואר"
